comuna,dormitorios,baños,estacionamientos,bodegas,superficie_total,superficie_util,precio,gastos_comunes,lat,long,precio_total,distancia_estacion,estacion_cercana
Independencia,1.0,1.0,0.0,0.0,32.0,32.0,250000.0,40000.0,-33.4009017,-70.6608557,290000.0,607.5133916900184,Plaza Chacabuco
Independencia,3.0,2.0,0.0,0.0,4745.0,45.0,400000.0,45000.0,-33.4268194,-70.6576976,445000.0,885.2180786637595,Puente Cal y Canto
Independencia,1.0,1.0,1.0,1.0,50.0,48.0,500000.0,50000.0,-33.4065778,-70.6681499,550000.0,659.1513280682942,Plaza Chacabuco
Independencia,3.0,1.0,1.0,0.0,60.0,60.0,470000.0,5000.0,-33.4218891,-70.6739442,475000.0,1725.9546621689071,Hospitales
Independencia,2.0,1.0,0.0,1.0,48.9,41.2,440000.0,0.0,-33.4190857,-70.6596697,440000.0,367.0653592129485,Hospitales
Independencia,2.0,1.0,0.0,0.0,46.0,48.0,350000.0,70000.0,-33.4155974,-70.6642603,420000.0,811.548020625543,Hospitales
Independencia,2.0,2.0,0.0,0.0,73.0,70.0,420000.0,70000.0,-33.4137453,-70.6551987,490000.0,469.49040864046384,Hospitales
Independencia,1.0,1.0,0.0,0.0,35.0,35.0,295000.0,45000.0,-33.4181726,-70.6659555,340000.0,927.2618131839355,Hospitales
Independencia,2.0,1.0,0.0,0.0,50.0,48.0,350000.0,22000.0,-33.4198377,-70.6621092,372000.0,608.4862292182099,Hospitales
Independencia,2.0,1.0,0.0,1.0,40.0,40.0,340000.0,50000.0,-33.4292844,-70.6575785,390000.0,681.381197796482,Puente Cal y Canto
Independencia,2.0,1.0,1.0,0.0,50.0,50.0,475000.0,45000.0,-33.4190857,-70.6596697,520000.0,367.0653592129485,Hospitales
Independencia,1.0,1.0,0.0,0.0,28.0,28.0,250000.0,40000.0,-33.4208781,-70.6615052,290000.0,610.2006966340007,Hospitales
Independencia,2.0,2.0,0.0,0.0,50.0,50.0,450000.0,55000.0,-33.4150716,-70.6702723,505000.0,1292.6413928295372,Plaza Chacabuco
Independencia,2.0,2.0,0.0,0.0,65.0,65.0,380000.0,70.0,-33.4105765,-70.65565,380070.0,686.8259723077977,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,29.0,29.0,324459.0,55000.0,-33.4202972,-70.658115,379459.0,331.17928033012697,Hospitales
Independencia,3.0,2.0,0.0,0.0,60.0,60.0,500000.0,65000.0,-33.4105765,-70.65565,565000.0,686.8259723077977,Plaza Chacabuco
Independencia,3.0,2.0,0.0,0.0,74.0,69.0,540000.0,70000.0,-33.404151,-70.6665,610000.0,562.1240182544892,Plaza Chacabuco
Independencia,3.0,2.0,0.0,0.0,60.0,60.0,480000.0,0.0,-33.4145816,-70.6775278,480000.0,1781.8549990716288,Plaza Chacabuco
